m,M,epsilon_of_M,NICV
0.1,0.1,0.25,0.5100540934761892
0.1,0.1,0.25,0.5076135792883947
0.1,0.1,0.25,0.6342802834105971
0.1,0.1,0.25,0.40470016358083394
0.1,0.1,0.25,0.45105614858022275
0.1,0.1,0.25,0.5153550581305132
0.1,0.1,0.25,0.8806465391180492
0.1,0.1,0.25,1.1569574746890463
0.1,0.1,0.25,0.9513541196751701
0.1,0.1,0.25,0.4887249151405735
0.1,0.1,0.25,0.4868358793019667
0.1,0.1,0.25,0.8352715941691434
0.1,0.1,0.25,0.4352900364797529
0.1,0.1,0.25,0.6402377735829498
0.1,0.1,0.25,0.7812818789413606
0.1,0.1,0.25,0.47136935576087297
0.1,0.1,0.25,0.6362595970972433
0.1,0.1,0.25,0.6046989929448424
0.1,0.1,0.25,0.8558269112705361
0.1,0.1,0.25,0.5060835726346361
0.1,0.1,0.25,0.5986300938714364
0.1,0.1,0.25,0.4486704331420935
0.1,0.1,0.25,0.9481212179585057
0.1,0.1,0.25,0.4419932865086645
0.1,0.1,0.25,0.48292740123728395
0.1,0.1,0.25,0.4771919091102271
0.1,0.1,0.25,0.5008030230397341
0.1,0.1,0.25,0.46886004373181017
0.1,0.1,0.25,0.5567113557671908
0.1,0.1,0.25,1.1946787791895632
0.1,0.1,0.25,0.5374099264317134
0.1,0.1,0.25,0.5157031534318837
0.1,0.1,0.25,0.44029626930610205
0.1,0.1,0.25,0.537074004395337
0.1,0.1,0.25,1.0435676767516902
0.1,0.1,0.25,0.5875116593228228
0.1,0.1,0.25,0.523324504149479
0.1,0.1,0.25,0.5170308511130691
0.1,0.1,0.25,0.46753373590179653
0.1,0.1,0.25,0.5782199140769815
0.1,0.1,0.25,0.5495748250465046
0.1,0.1,0.25,1.11332391463957
0.1,0.1,0.25,0.8568884618772461
0.1,0.1,0.25,0.5547108132172367
0.1,0.1,0.25,0.6038347893151315
0.1,0.1,0.25,0.4683758208191005
0.1,0.1,0.25,1.1409417507937325
0.1,0.1,0.25,1.141692372202652
0.1,0.1,0.25,0.5941501772420525
0.1,0.1,0.25,0.774302089782398
0.1,0.1,0.25,0.5960767840250333
0.1,0.1,0.25,0.4145894359849224
0.1,0.1,0.25,0.5179712020851894
0.1,0.1,0.25,0.5868678562734465
0.1,0.1,0.25,0.592962838571507
0.1,0.1,0.25,0.5507532255533671
0.1,0.1,0.25,0.6365016824029852
0.1,0.1,0.25,0.6749392464974877
0.1,0.1,0.25,0.9658757186600758
0.1,0.1,0.25,0.5561877504471566
0.1,0.1,0.25,0.7344141731225746
0.1,0.1,0.25,0.4751438210374159
0.1,0.1,0.25,0.5076685580546137
0.1,0.1,0.25,0.7021211081559887
0.1,0.1,0.25,0.5403308783835093
0.1,0.1,0.25,0.9812102712803349
0.1,0.1,0.25,1.1143150802396993
0.1,0.1,0.25,0.5658838668144013
0.1,0.1,0.25,0.7402398113931241
0.1,0.1,0.25,0.5098413384787207
0.1,0.1,0.25,0.557728772058481
0.1,0.1,0.25,0.545183172528776
0.1,0.1,0.25,0.6210251779559197
0.1,0.1,0.25,1.8280777183473673
0.1,0.1,0.25,0.5188778374820664
0.1,0.1,0.25,0.48712064941001826
0.1,0.1,0.25,0.4250525200318635
0.1,0.1,0.25,0.5826302369678565
0.1,0.1,0.25,0.47860698232533216
0.1,0.1,0.25,0.415727913962191
0.1,0.1,0.25,0.5634121372191792
0.1,0.1,0.25,0.42583524649036253
0.1,0.1,0.25,0.4681012786750797
0.1,0.1,0.25,0.5696731493619661
0.1,0.1,0.25,0.8425368696287657
0.1,0.1,0.25,0.80980165521696
0.1,0.1,0.25,0.4447788437876469
0.1,0.1,0.25,0.5471243496767894
0.1,0.1,0.25,0.8723897635488954
0.1,0.1,0.25,0.6442151981256323
0.1,0.1,0.25,0.5661974838343857
0.1,0.1,0.25,0.6993863093557483
0.1,0.1,0.25,0.5629411940105267
0.1,0.1,0.25,0.44507975545919803
