m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.04,0.04,0.2591744200495381,9.825016725644732e-10,0.69,0.318,0.576,0.524
0.04,0.05,0.0,9.825016725644732e-10,,,,
0.04,0.06,,9.825016725644732e-10,,,,
0.04,0.07,,9.825016725644732e-10,,,,
0.04,0.08,,9.825016725644732e-10,,,,
0.04,0.09,,9.825016725644732e-10,,,,
0.05,0.05,0.26157481665031834,9.92843795433573e-10,0.696,0.304,0.576,0.492
0.05,0.06,0.053108178396394715,9.92843795433573e-10,0.286,0.116,0.132,0.138
0.05,0.07,,9.92843795433573e-10,,,,
0.05,0.08,,9.92843795433573e-10,,,,
0.05,0.09,,9.92843795433573e-10,,,,
0.06,0.06,0.2640203528603893,1.0034059634701004e-09,0.662,0.324,0.538,0.478
0.06,0.07,0.08933345182771282,1.0034059634701004e-09,0.36,0.172,0.228,0.236
0.06,0.08,,1.0034059634701004e-09,,,,
0.06,0.09,,1.0034059634701004e-09,,,,
0.07,0.07,0.26651232156907717,1.0141952749052624e-09,0.658,0.296,0.546,0.504
0.07,0.08,0.11593906969477175,1.0141952749052624e-09,0.472,0.162,0.318,0.292
0.07,0.09,,1.0141952749052624e-09,,,,
0.08,0.08,0.2690520658086282,1.0252191365890155e-09,0.616,0.336,0.528,0.474
0.08,0.09,0.1365541706691729,1.0252191365890155e-09,0.446,0.168,0.292,0.314
